RemoteIP,DeviceName,ActionType,AccountName,total_connections
REDACTED IP,windows-target-1,LogonFailed,supervisor,2
REDACTED IP,windows-target-1,LogonFailed,named,1
REDACTED IP,windows-target-1,LogonFailed,ivan,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,laggmn,1
REDACTED IP,windows-target-1,LogonFailed,admin,3
REDACTED IP,windows-target-1,LogonFailed,school,1
REDACTED IP,windows-target-1,LogonFailed,0210233921,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,adminuser,2
REDACTED IP,windows-target-1,LogonFailed,spencer,1
REDACTED IP,windows-target-1,LogonFailed,administrator,6
REDACTED IP,windows-target-1,LogonFailed,oracle,1
REDACTED IP,windows-target-1,LogonFailed,research,2
REDACTED IP,windows-target-1,LogonFailed,admin123,1
REDACTED IP,windows-target-1,LogonFailed,usuario1,1
REDACTED IP,windows-target-1,LogonFailed,sqluser,1
REDACTED IP,windows-target-1,LogonFailed,backup,2
REDACTED IP,windows-target-1,LogonFailed,workstation,1
REDACTED IP,windows-target-1,LogonFailed,02sxcodlzxhd,1
REDACTED IP,windows-target-1,LogonFailed,leon,1
REDACTED IP,windows-target-1,LogonFailed,mysql,1
REDACTED IP,windows-target-1,LogonFailed,olive,1
REDACTED IP,windows-target-1,LogonFailed,admin1,1
REDACTED IP,windows-target-1,LogonFailed,webadmin,1
REDACTED IP,windows-target-1,LogonFailed,marcel,1
REDACTED IP,windows-target-1,LogonFailed,acpdemo,3
REDACTED IP,windows-target-1,LogonFailed,db2admin,1
REDACTED IP,windows-target-1,LogonFailed,uploader,1
REDACTED IP,windows-target-1,LogonFailed,paul,1
REDACTED IP,windows-target-1,LogonFailed,lara,1
REDACTED IP,windows-target-1,LogonFailed,04045904a,1
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,azureadmin,1
REDACTED IP,windows-target-1,LogonFailed,fax,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,johnny,15
REDACTED IP,windows-target-1,LogonFailed,tally,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,user2,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,?administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrator,2
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,admin,4
REDACTED IP,windows-target-1,LogonFailed,administrator,3
REDACTED IP,windows-target-1,LogonFailed,administrador,2
REDACTED IP,windows-target-1,LogonFailed,cctvbackup,1
REDACTED IP,windows-target-1,LogonFailed,user,1
REDACTED IP,windows-target-1,LogonFailed,hoyu,1
REDACTED IP,windows-target-1,LogonFailed,administrateur,1
REDACTED IP,windows-target-1,LogonFailed,lidertics,1
REDACTED IP,windows-target-1,LogonFailed,administrator,1
REDACTED IP,windows-target-1,LogonFailed,administrator,18
REDACTED IP,windows-target-1,LogonFailed,administrator,4
REDACTED IP,windows-target-1,LogonFailed,account,1
REDACTED IP,windows-target-1,LogonFailed,administrator,8
REDACTED IP,windows-target-1,LogonFailed,shop,1
REDACTED IP,windows-target-1,LogonFailed,administrator,5
