TimeGenerated [UTC],DeviceName,ActionType,AccountName,RemoteIP,login_count
"3/29/2025, 3:33:02.956 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:03.055 AM",windows-target-1,LogonFailed,sonia,REDACTED IP,1
"3/29/2025, 3:33:03.216 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:03.343 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:07.815 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:10.269 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:12.582 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:13.643 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:14.660 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:22.300 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:24.528 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:25.800 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:27.736 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:35.387 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:43.627 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:48.486 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:49.486 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:50.278 AM",windows-target-1,LogonFailed,serveradmin,REDACTED IP,1
"3/29/2025, 3:33:50.557 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:50.611 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:50.939 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:52.267 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:53.934 AM",windows-target-1,LogonFailed,todd,REDACTED IP,1
"3/29/2025, 3:33:54.749 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:33:58.077 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:08.051 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:10.860 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:12.117 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:17.794 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:18.819 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:19.217 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:23.766 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:25.398 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:25.423 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:25.923 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:28.626 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:28.797 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:34:32.360 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:37:49.371 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:37:57.307 AM",windows-target-1,LogonFailed,puac,REDACTED IP,1
"3/29/2025, 3:37:57.605 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:37:58.474 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:01.700 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:01.777 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:04.651 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:05.665 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:06.651 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:07.932 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:08.184 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:08.391 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:08.860 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
"3/29/2025, 3:38:09.698 AM",windows-target-1,LogonFailed,administrator,REDACTED IP,1
